player,train_size,model,log_loss_mean,log_loss_std,brier_mean,brier_std,ece_mean,ece_std,roc_auc_mean,roc_auc_std,n_shots_mean
Kevin Durant,10,binned_EB,0.71046,0.02798755080388419,0.25678,0.011734010397131907,0.11609319999999998,0.05766434275355958,0.5734999999999999,0.013033226768532786,170.8
Kevin Durant,10,gp_location,0.7124400000000001,0.022745065398894787,0.25662,0.008562826636105634,0.1205948,0.03748274185808716,0.58182,0.017937307490256134,170.8
Kevin Durant,10,intercept_only,0.71778,0.02108309749538713,0.26188,0.009858853888764159,0.1014896,0.04426643510945963,0.5,0.0,170.8
Kevin Durant,10,logistic_RBF,0.86814,0.09472509171280857,0.2884,0.016362457028209428,0.17775760000000002,0.0448343090980557,0.56656,0.015754301000044445,170.8
Kevin Durant,20,binned_EB,0.68482,0.005246617958266088,0.24546,0.002152440475367434,0.0756222,0.019753709568078603,0.59404,0.012735894157851646,341.2
Kevin Durant,20,gp_location,0.69712,0.005450412828401164,0.25095999999999996,0.00238390436049772,0.0798442,0.012367273919502231,0.58236,0.012439171998167733,341.2
Kevin Durant,20,intercept_only,0.7032,0.00391279950930272,0.25498,0.0019149412523625654,0.06933160000000001,0.01420572464888715,0.5,0.0,341.2
Kevin Durant,20,logistic_RBF,0.75218,0.014818299497580687,0.26972,0.006130008156601397,0.1310896,0.022310607876075448,0.5601,0.020276834072408816,341.2
Kevin Durant,30,binned_EB,0.69492,0.01278033645879481,0.2503,0.005777110004145671,0.103294,0.024713723282824056,0.57926,0.02142762235993532,504.6
Kevin Durant,30,gp_location,0.6951,0.005470374758643147,0.25012,0.0024621129137389433,0.1047866,0.02342427269521937,0.5999000000000001,0.01922589399741919,504.6
Kevin Durant,30,intercept_only,0.71292,0.010868854585465743,0.25966,0.005128645045233677,0.0959814,0.023417879436447703,0.5,0.0,504.6
Kevin Durant,30,logistic_RBF,0.7256199999999999,0.008395951405290546,0.26138,0.0038667816074870283,0.1341754,0.030189197625972105,0.58304,0.030450582917244798,504.6
Kevin Durant,40,binned_EB,0.6934400000000001,0.004046974178321404,0.24974,0.0019320973060381857,0.0961788,0.007959515230213461,0.58324,0.015540205918841594,670.6
Kevin Durant,40,gp_location,0.69382,0.00557332934609108,0.24951999999999996,0.002563591231066292,0.10285600000000002,0.022582652966381078,0.59132,0.011324839954718991,670.6
Kevin Durant,40,intercept_only,0.71142,0.0030817202987941813,0.25898000000000004,0.001460136979875532,0.0944642,0.007949032783930386,0.5,0.0,670.6
Kevin Durant,40,logistic_RBF,0.7203,0.012916462363975643,0.25945999999999997,0.005556797638928378,0.1054188,0.011022139139023779,0.57404,0.022561427259816712,670.6
Kevin Durant,50,binned_EB,0.69466,0.0023501063805708954,0.25032,0.0010545141061171106,0.10120959999999998,0.008290244556103278,0.56896,0.012146933769474528,839.8
Kevin Durant,50,gp_location,0.69252,0.0012814054783713104,0.24905999999999998,0.0007300684899377583,0.10866420000000002,0.01258758812084349,0.5933400000000001,0.008421579424312297,839.8
Kevin Durant,50,intercept_only,0.71242,0.00266214199471028,0.25944,0.0012837445228704837,0.0970578,0.006716158626774683,0.5,0.0,839.8
Kevin Durant,50,logistic_RBF,0.7108399999999999,0.006131313073070038,0.25654000000000005,0.0029056840846864228,0.11991199999999999,0.009415515068226486,0.5761200000000001,0.018186451000676306,839.8
LeBron James,10,binned_EB,0.65462,0.0030882033611794144,0.23112,0.001393556600931596,0.0445508,0.01222203433148508,0.63472,0.017914993720344958,174.0
LeBron James,10,gp_location,0.6667799999999999,0.008638113219910957,0.23596,0.004058078362969351,0.08399179999999999,0.02237845601689268,0.6342000000000001,0.013197537649122293,174.0
LeBron James,10,intercept_only,0.68684,0.004077744474583931,0.24676,0.0019514097468240697,0.0372346,0.024636005688828698,0.5,0.0,174.0
LeBron James,10,logistic_RBF,0.76856,0.06446253175294935,0.25966,0.013375088784752038,0.1390044,0.02453041930542567,0.60748,0.02321824713452761,174.0
LeBron James,20,binned_EB,0.65288,0.007854425504134607,0.23012000000000002,0.0038310572953168015,0.0377462,0.008496518416386798,0.6367200000000001,0.01885688203282817,383.8
LeBron James,20,gp_location,0.66546,0.008688670784418043,0.23532000000000003,0.003285117958308349,0.06807959999999999,0.029449156113545934,0.62994,0.01455980769103768,383.8
LeBron James,20,intercept_only,0.6836,0.0006892024376045017,0.24523999999999999,0.0003130495168499707,0.0156638,0.01042602722517067,0.5,0.0,383.8
LeBron James,20,logistic_RBF,0.72142,0.017963769092258993,0.25178,0.0060524375254933545,0.1133092,0.020926419884920597,0.60932,0.01312600472344879,383.8
LeBron James,30,binned_EB,0.65384,0.006551564698604419,0.23045999999999997,0.0030509015061125824,0.053092600000000004,0.013922083547371785,0.6369,0.01729812128527259,561.0
LeBron James,30,gp_location,0.66536,0.004505885040699555,0.23536,0.0017896927110540564,0.0680362,0.016012131875549868,0.62974,0.005523404747074066,561.0
LeBron James,30,intercept_only,0.68434,0.0019462785001125005,0.24558,0.0009203260291874877,0.018768200000000002,0.02065933057240723,0.5,0.0,561.0
LeBron James,30,logistic_RBF,0.69858,0.015852034569732713,0.24442,0.0034098387058627802,0.10130259999999999,0.016861367272555324,0.6185400000000001,0.009727435427696267,561.0
LeBron James,40,binned_EB,0.6479,0.004206542523260646,0.22772,0.0019524343778985296,0.039694799999999995,0.014548310527343029,0.64742,0.01104952487666323,762.0
LeBron James,40,gp_location,0.65906,0.0012601587201618854,0.23262,0.0007854934754662242,0.062739,0.00939115000945039,0.63622,0.004045614909998222,762.0
LeBron James,40,intercept_only,0.6833400000000001,0.00016733200530679834,0.24508000000000002,8.366600265341832e-05,0.0141464,0.0025641745845398287,0.5,0.0,762.0
LeBron James,40,logistic_RBF,0.6824399999999999,0.015495580014959062,0.23928000000000002,0.005039543630131604,0.08559459999999999,0.008752795142124601,0.62466,0.012407981302371456,762.0
LeBron James,50,binned_EB,0.64656,0.002039117456155976,0.22704,0.0009289779329994893,0.0305326,0.011093359423547043,0.6514599999999999,0.0036390932936653467,945.6
LeBron James,50,gp_location,0.65892,0.0012833549781724617,0.23242,0.00046583258795408403,0.0562324,0.01155051736070727,0.6355999999999999,0.0018533752992850657,945.6
LeBron James,50,intercept_only,0.68344,0.00028809720581775706,0.24518,0.00014832396974192523,0.0157004,0.004064450368746063,0.5,0.0,945.6
LeBron James,50,logistic_RBF,0.66848,0.003912416133286478,0.23525999999999997,0.001566205605915135,0.07663539999999999,0.007033833328989247,0.63102,0.0029802684442848445,945.6
Stephen Curry,10,binned_EB,0.7053,0.017560751692339376,0.25552,0.007699155797878086,0.061783,0.032792772145703086,0.50236,0.015643944515370763,138.6
Stephen Curry,10,gp_location,0.71354,0.011975516690314412,0.25934,0.005277594148852277,0.083809,0.022986717599518203,0.5057,0.02039117456155971,138.6
Stephen Curry,10,intercept_only,0.69386,0.0019165072397463103,0.25036,0.000965919251283448,0.0265432,0.020376567650122038,0.5,0.0,138.6
Stephen Curry,10,logistic_RBF,0.86296,0.09389013792726048,0.29766,0.019520578884858912,0.17807820000000002,0.034420290014757285,0.51302,0.03458571959638836,138.6
Stephen Curry,20,binned_EB,0.6978,0.003261134771824056,0.25216000000000005,0.0015339491516996179,0.044572600000000004,0.018021215422384804,0.50386,0.01594123583665956,264.0
Stephen Curry,20,gp_location,0.70598,0.010701962436861737,0.25578,0.004792911432521996,0.06744900000000001,0.026337849959706276,0.52532,0.015815720027870992,264.0
Stephen Curry,20,intercept_only,0.69358,0.0008700574693662271,0.25020000000000003,0.00042426406871193923,0.0292456,0.007048519724027168,0.5,0.0,264.0
Stephen Curry,20,logistic_RBF,0.7769199999999999,0.037525884399971135,0.27725999999999995,0.012407376837994411,0.1449662,0.03529438119162879,0.53334,0.018795557985864617,264.0
Stephen Curry,30,binned_EB,0.69828,0.005046979294588033,0.25238,0.0023983327542274127,0.036598000000000006,0.018472782234953133,0.51244,0.009973113856765026,388.4
Stephen Curry,30,gp_location,0.70146,0.0014467204291085474,0.25386000000000003,0.0007503332592921639,0.060600600000000004,0.01290713503454581,0.52082,0.009667833262939523,388.4
Stephen Curry,30,intercept_only,0.69224,0.0006655824516917628,0.24954,0.0003209361307176195,0.0116542,0.01027808166439633,0.5,0.0,388.4
Stephen Curry,30,logistic_RBF,0.75336,0.015063631700224197,0.27288,0.0047683330420598665,0.12386680000000001,0.01852106416219111,0.52302,0.00929042517864496,388.4
Stephen Curry,40,binned_EB,0.70342,0.0036030542599300264,0.25484,0.0016546903033498375,0.0547936,0.01998649669902157,0.49214,0.014838227656967655,547.2
Stephen Curry,40,gp_location,0.6963,0.0033113441379597234,0.2514,0.0014949916387726064,0.0488308,0.015171859994740263,0.5360400000000001,0.004823173229316975,547.2
Stephen Curry,40,intercept_only,0.69248,0.000664830805543811,0.24967999999999999,0.00031144823004794334,0.017261,0.008296016182481807,0.5,0.0,547.2
Stephen Curry,40,logistic_RBF,0.71574,0.006314111180522535,0.25972,0.0023036926878383765,0.11348259999999999,0.015370094186438808,0.53762,0.005782473519178422,547.2
Stephen Curry,50,binned_EB,0.70366,0.003992242477605777,0.255,0.0019065675964937557,0.0556204,0.0137021387856057,0.4845,0.011899789914111898,661.6
Stephen Curry,50,gp_location,0.69594,0.0021173096136370565,0.25114000000000003,0.0009914635646356346,0.050209199999999996,0.003068034093682796,0.53826,0.008185536023987697,661.6
Stephen Curry,50,intercept_only,0.6923,0.00042426406871191717,0.24956,0.00020736441353328016,0.014971400000000001,0.0060774174037990835,0.5,0.0,661.6
Stephen Curry,50,logistic_RBF,0.7164200000000001,0.0038661350209220698,0.2602,0.0018560711193270477,0.09114,0.014141935033792234,0.53056,0.012267966416647862,661.6
